,Title,Address,Bedroom,Bathroom,Price,City,State,Zipcode
108,Townhouse,"3903 Barcroft Mews Ct, Falls Church, VA 22041",3,3.5,3700,Falls Church,VA,22041
109,House,"4400 Kerrybrooke Dr, Alexandria, VA 22310",5,3.0,3600,Alexandria,VA,22310
110,Townhouse,"1803 Fawncrest Ct, Vienna, VA 22182",3,4.0,4300,Vienna,VA,22182
111,House,"5134 1st Rd, Fairfax, VA 22030",5,4.5,5800,Fairfax,VA,22030
112,House,"6526 Dearborn Dr, Falls Church, VA 22044",5,5.0,6500,Falls Church,VA,22044
113,House,"8316 Idylwood Rd, Vienna, VA 22182",4,4.0,4500,Vienna,VA,22182
114,Townhouse,"6327 Summer Moon Ln, Alexandria, VA 22312",4,2.5,3300,Alexandria,VA,22312
115,House,"636 Walker Rd, Great Falls, VA 22066",4,2.0,3750,Great Falls,VA,22066
116,Townhouse,"2640 Jetstream Rd, Herndon, VA 20171",3,3.0,3100,Herndon,VA,20171
117,Townhouse,"7804 Locust Leaf Ln, Alexandria, VA 22315",3,4.0,3400,Alexandria,VA,22315
118,Townhouse,"1708 Anderson Rd, McLean, VA 22102",3,5.0,5200,McLean,VA,22102
119,Townhouse,"6533 Tartan Vista Dr, Alexandria, VA 22312",2,3.5,3750,Alexandria,VA,22312
120,Townhouse,"3020 Southern Elm Ct, Fairfax, VA 22031",4,3.5,3200,Fairfax,VA,22031
121,House,"8008 Sandburg Ct, Dunn Loring, VA 22027",5,3.5,5295,Dunn Loring,VA,22027
122,House,"8411 Cottage St, Vienna, VA 22180",4,2.5,3600,Vienna,VA,22180
123,Townhouse,"2670 Glengyle Dr Unit 51, Vienna, VA 22181",2,1.5,2350,Vienna,VA,22181
124,House,"1008 Kimberly Place, Great Falls, VA 22066",4,4.5,6500,Great Falls,VA,22066
125,House,"1311 Summerwood Ct, McLean, VA 22102",5,6.0,12500,McLean,VA,22102
126,Townhouse,"14373 Saint Germain Dr, Centreville, VA 20121",2,1.5,2100,Centreville,VA,20121
127,House,"4512 Gage Rd, Alexandria, VA 22309",6,3.5,4200,Alexandria,VA,22309
128,Townhouse,"7737 Legere Ct Unit 36, McLean, VA 22102",3,5.0,4995,McLean,VA,22102
129,Townhouse,"9419 Colonade Dr, Vienna, VA 22181",3,4.0,3650,Vienna,VA,22181
130,Townhouse,"8271 Shannons Landing Way, Lorton, VA 22079",3,2.5,3300,Lorton,VA,22079
131,Townhouse,"13387 Launders St Unit 76, Herndon, VA 20171",3,2.5,2900,Herndon,VA,20171
132,Townhouse,"2038 Swans Neck Way, Reston, VA 20191",3,3.5,2925,Reston,VA,20191
133,Townhouse,"9170 Broken Oak Place Unit 66B, Burke, VA 22015",3,2.5,2700,Burke,VA,22015
134,House,"5140 Pumphrey Dr, Fairfax, VA 22032",4,2.5,3500,Fairfax,VA,22032
135,Townhouse,"8844 Mansion View Ct, Vienna, VA 22182",3,3.5,3695,Vienna,VA,22182
136,Townhouse,"2926 Mainstone Dr, Fairfax, VA 22031",3,4.0,4000,Fairfax,VA,22031
137,House,"4004 David Ln, Alexandria, VA 22311",4,2.0,3400,Alexandria,VA,22311
138,House,"634 Springvale Rd, Great Falls, VA 22066",5,3.5,7200,Great Falls,VA,22066
139,Townhouse,"5575 Glasgow Woods Ct, Fairfax, VA 22032",3,4.0,2650,Fairfax,VA,22032
140,Townhouse,"9669 Scotch Haven Dr, Vienna, VA 22181",3,4.0,3400,Vienna,VA,22181
141,Townhouse,"5503 Akridge Ct, Fairfax, VA 22032",3,3.5,3000,Fairfax,VA,22032
142,House,"8206 Light Horse Ct, Annandale, VA 22003",5,3.0,4200,Annandale,VA,22003
143,Townhouse,"11866 Saint Trinians Ct, Reston, VA 20191",3,3.5,2895,Reston,VA,20191
144,Townhouse,"2106 Farrington Ave, Alexandria, VA 22303",2,2.0,2400,Alexandria,VA,22303
145,Townhouse,"6706 Jenny Leigh Ct, Centreville, VA 20121",3,3.5,2600,Centreville,VA,20121
146,Townhouse,"2100 Ferguson Place, Herndon, VA 20170",3,1.5,2350,Herndon,VA,20170
147,Townhouse,"6365 Brampton Ct, Alexandria, VA 22304",3,5.0,3950,Alexandria,VA,22304
148,Townhouse,"5265 Broadwing Place, Alexandria, VA 22312",4,3.5,3500,Alexandria,VA,22312
149,Townhouse,"9275 Laurel Ridge Crossing Rd, Lorton, VA 22079",3,3.5,3300,Lorton,VA,22079
150,House,"1632 Morrill Ct, McLean, VA 22101",5,3.0,4750,McLean,VA,22101
151,House,"1751 Tysons Crest Ln, Vienna, VA 22182",6,5.5,7500,Vienna,VA,22182
152,Townhouse,"13011 Park Crescent Cir, Herndon, VA 20171",3,5.0,3250,Herndon,VA,20171
153,House,"4607 Exeter St, Annandale, VA 22003",4,3.5,3400,Annandale,VA,22003
154,House,"7620 Maritime Ln, Springfield, VA 22153",4,3.0,3400,Springfield,VA,22153
155,House,"4510 Andes Ct, Fairfax, VA 22030",4,2.0,3000,Fairfax,VA,22030
156,House,"7406 Calamo St, Springfield, VA 22150",4,3.0,4000,Springfield,VA,22150
157,Townhouse,"3138 Borge St, Oakton, VA 22124",3,3.5,3500,Oakton,VA,22124
158,Townhouse,"13009 Hattontown Square, Oak Hill, VA 20171",4,4.5,4000,Oak Hill,VA,20171
159,Townhouse,"8621 Rocky Gap Ct, Lorton, VA 22079",3,4.0,2700,Lorton,VA,22079
