,Title,Address,Bedroom,Bathroom,Price
51,Townhouse for Rent,"123 Rhode Island Ave NE, Washington, DC 20002",4,3.5,4950 per month
52,Townhouse for Rent,"947 25th St NW, Washington, DC 20037",3,2.5,5400 per month
53,Townhouse for Rent,"5121 3rd St NW, Washington, DC 20011",4,3.5,4150 per month
54,Townhouse for Rent,"68 Farragut Place NW, Washington, DC 20011",3,3.5,3900 per month
55,Townhouse for Rent,"3612 Whitehaven Pkwy NW, Washington, DC 20007",5,2.0,9995 per month
56,Townhouse for Rent,"738 Rock Creek Church Rd NW, Washington, DC 20010",5,2.5,4750 per month
57,Townhouse for Rent,"1000 I St NE Unit 2, Washington, DC 20002",3,2.5,4400 per month
58,Townhouse for Rent,"4412 Lingan Rd NW, Washington, DC 20007",3,5.0,5300 per month
59,Townhouse for Rent,"900 24th St NW, Washington, DC 20037",4,2.5,5500 per month
60,Townhouse for Rent,"4236 Grant St NE, Washington, DC 20019",4,2.0,2500 per month
61,Townhouse for Rent,"1310 F St NE, Washington, DC 20002",3,2.0,3600 per month
62,Townhouse for Rent,"3106 18th St NW, Washington, DC 20010",4,4.0,7000 per month
63,Townhouse for Rent,"519 10th St SE, Washington, DC 20003",2,Na,3200 per month
64,Townhouse for Rent,"1751 L St NE, Washington, DC 20002",2,2.5,3000 per month
65,Townhouse for Rent,"1724 E St NE, Washington, DC 20002",2,1.5,2900 per month
66,Townhouse for Rent,"2298 Champlain St NW Unit B, Washington, DC 20009",2,2.0,3900 per month
67,Townhouse for Rent,"872 Bellevue St SE Unit 1, Washington, DC 20032",4,2.0,2300 per month
68,Townhouse for Rent,"1938 Capitol Ave NE, Washington, DC 20002",2,Na,2500 per month
69,Townhouse for Rent,"1112 25th St NW Unit 7, Washington, DC 20037",2,2.0,4200 per month
70,Townhouse for Rent,"1452 Spring Rd NW, Washington, DC 20010",3,2.5,4500 per month
71,Townhouse for Rent,"750 19th St NE Unit 3, Washington, DC 20002",2,2.5,3000 per month
72,Townhouse for Rent,"2204 Wyoming Ave NW, Washington, DC 20008",5,5.5,12500 per month
73,Townhouse for Rent,"622 Princeton Place NW Unit B, Washington, DC 20010",2,Na,2300 per month
74,Townhouse for Rent,"3163 Hawthorne Dr NE Unit 3163, Washington, DC 20017",2,2.0,2450 per month
75,Townhouse for Rent,"3740 Foote St NE, Washington, DC 20019",3,3.5,2998 per month
76,House for Rent,"5109 A St SE, Washington, DC 20019",4,4.0,3200 per month
77,House for Rent,"5100 Upton St NW, Washington, DC 20016",6,4.5,7850 per month
78,Townhouse for Rent,"325 D St SE, Washington, DC 20003",5,3.5,9995 per month
79,House for Rent,"1620 21st Place SE Unit 4, Washington, DC 20020",3,Na,2008 per month
80,Townhouse for Rent,"3131 N St NW, Washington, DC 20007",3,3.0,7200 per month
81,Townhouse for Rent,"1255 16th St NE, Washington, DC 20002",2,2.5,2800 per month
82,Townhouse for Rent,"322 Adolf Cluss Ct SE, Washington, DC 20003",3,3.5,12000 per month
83,Townhouse for Rent,"1117 7th St NE, Washington, DC 20002",4,3.0,4753 per month
84,Townhouse for Rent,"4622 8th St NW, Washington, DC 20011",3,3.5,4200 per month
85,Townhouse for Rent,"133 Florida Ave NW, Washington, DC 20001",3,2.5,4500 per month
86,Townhouse for Rent,"1214 Trenton Place SE, Washington, DC 20032",4,2.5,2950 per month
87,House for Rent,"3315 Ross Place NW, Washington, DC 20008",3,2.5,5900 per month
88,Townhouse for Rent,"4336 Varnum Place NE, Washington, DC 20017",4,3.0,3700 per month
89,Townhouse for Rent,"1121 3rd St NE, Washington, DC 20002",2,Na,3000 per month
90,Townhouse for Rent,"449 Q St NW, Washington, DC 20001",3,2.5,4500 per month
91,Townhouse for Rent,"220 8th St SE, Washington, DC 20003",3,2.5,6500 per month
92,Townhouse for Rent,"3802 T St NW, Washington, DC 20007",3,2.0,5995 per month
93,Townhouse for Rent,"2428 20th St NW, Washington, DC 20009",2,Na,2500 per month
94,Townhouse for Rent,"808 Malcolm x Ave SE, Washington, DC 20032",3,1.5,3100 per month
95,House for Rent,"6133 Sligo Mill Rd NE, Washington, DC 20011",5,3.5,5757 per month
96,House for Rent,"1620 21st Place SE Unit 1, Washington, DC 20020",3,Na,1893 per month
97,Townhouse for Rent,"70 T St NW Unit 1, Washington, DC 20001",3,2.5,4200 per month
98,Townhouse for Rent,"1553 44th St NW, Washington, DC 20007",2,Na,2200 per month
99,Townhouse for Rent,"4424 Georgia Ave NW Unit 101, Washington, DC 20011",2,2.5,3300 per month
