,Title,Address,Bedroom,Bathroom,Price,City,State,Zipcode,Latitude ,Longitude 
105,Townhouse,"5720 Fenwick Dr, Alexandria, VA 22303",3,2.0,2495,Alexandria,VA,22303,38.7942,-77.0855
106,House,"6106 Bangor Dr, Alexandria, VA 22303",3,2.0,3800,Alexandria,VA,22303,38.7942,-77.0855
107,Townhouse,"2848 Fairhaven Ave, Alexandria, VA 22303",3,2.0,3230,Alexandria,VA,22303,38.7942,-77.0855
108,House,"3506 Beverly Dr, Annandale, VA 22003",4,3.0,3800,Annandale,VA,22003,38.8308,-77.2142
109,Townhouse,"3690 Yorktown Village Pass, Annandale, VA 22003",3,4.0,3000,Annandale,VA,22003,38.8308,-77.2142
110,Townhouse,"3403 Wheatwheel Ln, Annandale, VA 22003",3,3.5,2900,Annandale,VA,22003,38.8308,-77.2142
111,House,"7815 Bristow Dr, Annandale, VA 22003",4,2.0,3600,Annandale,VA,22003,38.8308,-77.2142
112,House,"4607 Exeter St, Annandale, VA 22003",4,3.5,3400,Annandale,VA,22003,38.8308,-77.2142
113,House,"4021 Oxford St, Annandale, VA 22003",4,3.0,3550,Annandale,VA,22003,38.8308,-77.2142
114,Townhouse,"4503 King Edward Ct, Annandale, VA 22003",4,3.5,3500,Annandale,VA,22003,38.8308,-77.2142
115,Townhouse,"8311 Highcliffe Ct, Annandale, VA 22003",3,4.0,2850,Annandale,VA,22003,38.8308,-77.2142
116,Townhouse,"4584 Conwell Dr, Annandale, VA 22003",3,2.0,2695,Annandale,VA,22003,38.8308,-77.2142
117,House,"7203 Statecrest Dr, Annandale, VA 22003",4,3.0,3300,Annandale,VA,22003,38.8308,-77.2142
118,Townhouse,"6768 Perry Penney Dr Unit 108, Annandale, VA 22003",3,2.0,2600,Annandale,VA,22003,38.8308,-77.2142
119,House,"9521 Rockport Rd, Vienna, VA 22180",4,3.0,3750,Vienna,VA,22180,38.8963,-77.2541
120,House,"1105 Westbriar Ct NE, Vienna, VA 22180",3,2.5,3900,Vienna,VA,22180,38.8963,-77.2541
121,House,"2411 Jackson Pkwy, Vienna, VA 22180",4,3.0,8000,Vienna,VA,22180,38.8963,-77.2541
122,House,"8411 Cottage St, Vienna, VA 22180",4,2.5,3600,Vienna,VA,22180,38.8963,-77.2541
