,Title,Address,Bedroom,Bathroom,Price,City,State,Zipcode,Latitude ,Longitude 
104,Townhouse,"2013 Approach Ln, Reston, VA 20191",3,2.5,2750,Reston,VA,20191,38.934,-77.3516
105,Townhouse,"2438 Ridgehampton Ct, Reston, VA 20191",2,3.0,2500,Reston,VA,20191,38.934,-77.3516
106,Townhouse,"2281 Emerald Heights Ct, Reston, VA 20191",3,2.5,2500,Reston,VA,20191,38.934,-77.3516
107,House,"2123 Owls Cove Ln, Reston, VA 20191",3,2.0,3700,Reston,VA,20191,38.934,-77.3516
108,Townhouse,"2042 Headlands Cir, Reston, VA 20191",3,3.5,2900,Reston,VA,20191,38.934,-77.3516
109,Townhouse,"2038 Swans Neck Way, Reston, VA 20191",3,3.5,2925,Reston,VA,20191,38.934,-77.3516
110,Townhouse,"11866 Saint Trinians Ct, Reston, VA 20191",3,3.5,2895,Reston,VA,20191,38.934,-77.3516
111,House,"2464 Arctic Fox Way, Reston, VA 20191",5,3.5,3695,Reston,VA,20191,38.934,-77.3516
112,Townhouse,"2318 Millennium Ln, Reston, VA 20191",4,3.5,3800,Reston,VA,20191,38.934,-77.3516
113,Townhouse,"2306 Emerald Heights Ct, Reston, VA 20191",3,4.0,2650,Reston,VA,20191,38.934,-77.3516
114,Townhouse,"11114 Lakespray Way, Reston, VA 20191",3,3.5,3800,Reston,VA,20191,38.934,-77.3516
115,Townhouse,"11720 Dry River Ct, Reston, VA 20191",3,4.0,3000,Reston,VA,20191,38.934,-77.3516
116,Townhouse,"2471 Fox Trot Terrace, Reston, VA 20191",2,1.5,2200,Reston,VA,20191,38.934,-77.3516
117,Townhouse,"2271 Coppersmith Square, Reston, VA 20191",3,2.5,2400,Reston,VA,20191,38.934,-77.3516
118,House,"2004 Halyard Ln, Reston, VA 20191",4,3.5,5000,Reston,VA,20191,38.934,-77.3516
119,House,"2456 Arctic Fox Way, Reston, VA 20191",5,3.5,4500,Reston,VA,20191,38.934,-77.3516
120,Townhouse,"11996 Sentinel Point Ct, Reston, VA 20191",3,2.5,2850,Reston,VA,20191,38.934,-77.3516
121,Townhouse,"2400 Ridgehampton Ct, Reston, VA 20191",2,2.0,2500,Reston,VA,20191,38.934,-77.3516
122,Townhouse,"2203 Southgate Square, Reston, VA 20191",3,1.5,2195,Reston,VA,20191,38.934,-77.3516
123,Townhouse,"2325 Glade Bank Way, Reston, VA 20191",3,2.5,2950,Reston,VA,20191,38.934,-77.3516
124,House,"2509 Foxcroft Way, Reston, VA 20191",4,3.0,3500,Reston,VA,20191,38.934,-77.3516
125,Townhouse,"2168 Golf Course Dr, Reston, VA 20191",3,4.0,3250,Reston,VA,20191,38.934,-77.3516
126,Townhouse,"11014 Granby Ct, Reston, VA 20191",3,3.5,2800,Reston,VA,20191,38.934,-77.3516
127,House,"7813 Mulberry Bottom Ln, Springfield, VA 22153",4,2.5,3800,Springfield,VA,22153,38.7443,-77.2351
128,House,"7907 Laural Valley Way, Springfield, VA 22153",4,3.5,3850,Springfield,VA,22153,38.7443,-77.2351
129,Townhouse,"8093 Steeple Chase Ct, Springfield, VA 22153",3,3.0,2700,Springfield,VA,22153,38.7443,-77.2351
130,House,"8301 Deep Valley Ct, Springfield, VA 22153",4,3.5,3500,Springfield,VA,22153,38.7443,-77.2351
131,Townhouse,"8179 Curving Creek Ct, Springfield, VA 22153",3,2.5,2595,Springfield,VA,22153,38.7443,-77.2351
132,House,"7951 Hidden Bridge Dr, Springfield, VA 22153",3,4.0,3000,Springfield,VA,22153,38.7443,-77.2351
133,Townhouse,"8230 Crestmont Cir, Springfield, VA 22153",2,2.0,2100,Springfield,VA,22153,38.7443,-77.2351
134,House,"7620 Maritime Ln, Springfield, VA 22153",4,3.0,3400,Springfield,VA,22153,38.7443,-77.2351
135,Townhouse,"9075 Giltinan Ct, Springfield, VA 22153",3,2.5,2900,Springfield,VA,22153,38.7443,-77.2351
136,House,"8471 Misty Blue Ct, Springfield, VA 22153",4,2.0,2995,Springfield,VA,22153,38.7443,-77.2351
137,House,"8833 Seacraft Ct, Springfield, VA 22153",4,2.5,3500,Springfield,VA,22153,38.7443,-77.2351
138,Townhouse,"8215 White Stone Ln, Springfield, VA 22153",2,1.5,1975,Springfield,VA,22153,38.7443,-77.2351
139,House,"7849 Godolphin Dr, Springfield, VA 22153",5,2.5,3895,Springfield,VA,22153,38.7443,-77.2351
140,Townhouse,"8028 Sleepy View Ln, Springfield, VA 22153",3,3.5,3000,Springfield,VA,22153,38.7443,-77.2351
141,Townhouse,"8914 Grandstaff Ct, Springfield, VA 22153",3,3.5,3300,Springfield,VA,22153,38.7443,-77.2351
142,House,"7100 Plandome Ct, Springfield, VA 22153",5,3.5,3250,Springfield,VA,22153,38.7443,-77.2351
143,Townhouse,"8328 Rocky Forge Ct, Springfield, VA 22153",2,2.0,2250,Springfield,VA,22153,38.7443,-77.2351
144,House,"8702 Arley Dr, Springfield, VA 22153",5,3.0,3600,Springfield,VA,22153,38.7443,-77.2351
145,Townhouse,"7962 Forest Path Way, Springfield, VA 22153",3,4.0,2600,Springfield,VA,22153,38.7443,-77.2351
146,House,"5825 Biscayne Dr, Alexandria, VA 22303",4,2.0,3000,Alexandria,VA,22303,38.7942,-77.0855
147,Townhouse,"3858 Elmwood Towne Way, Alexandria, VA 22303",3,3.5,3595,Alexandria,VA,22303,38.7942,-77.0855
148,Townhouse,"2106 Farrington Ave, Alexandria, VA 22303",2,2.0,2400,Alexandria,VA,22303,38.7942,-77.0855
149,House,"5819 Fifer Dr, Alexandria, VA 22303",3,2.0,2850,Alexandria,VA,22303,38.7942,-77.0855
150,House,"3713 Elmwood Dr, Alexandria, VA 22303",5,4.5,3750,Alexandria,VA,22303,38.7942,-77.0855
151,Townhouse,"2312 Victory Dr, Alexandria, VA 22303",2,2.0,2575,Alexandria,VA,22303,38.7942,-77.0855
152,House,"6118 Bangor Dr, Alexandria, VA 22303",4,2.0,2750,Alexandria,VA,22303,38.7942,-77.0855
153,Townhouse,"2111 Hardbower Way, Alexandria, VA 22303",3,3.5,5800,Alexandria,VA,22303,38.7942,-77.0855
154,Townhouse,"5720 Fenwick Dr, Alexandria, VA 22303",3,2.0,2495,Alexandria,VA,22303,38.7942,-77.0855
155,House,"6106 Bangor Dr, Alexandria, VA 22303",3,2.0,3800,Alexandria,VA,22303,38.7942,-77.0855
156,Townhouse,"2848 Fairhaven Ave, Alexandria, VA 22303",3,2.0,3230,Alexandria,VA,22303,38.7942,-77.0855
157,House,"3015 Fairmont St, Falls Church, VA 22042",5,2.5,3750,Falls Church,VA,22042,38.865,-77.193
158,Townhouse,"8067 Nicosh Circle Ln Unit 56, Falls Church, VA 22042",3,3.0,3400,Falls Church,VA,22042,38.865,-77.193
159,House,"3220 Wayne Rd, Falls Church, VA 22042",4,3.0,4750,Falls Church,VA,22042,38.865,-77.193
160,House,"6649 Tansey Dr, Falls Church, VA 22042",6,4.5,6000,Falls Church,VA,22042,38.865,-77.193
161,Townhouse,"2926 Bridgehampton Ct, Falls Church, VA 22042",3,4.0,3400,Falls Church,VA,22042,38.865,-77.193
162,House,"6805 Glenmont St, Falls Church, VA 22042",3,2.0,3500,Falls Church,VA,22042,38.865,-77.193
163,House,"6656 Kerns Rd, Falls Church, VA 22042",5,4.0,5000,Falls Church,VA,22042,38.865,-77.193
164,House,"3304 Horseman Ln, Falls Church, VA 22042",3,2.5,4000,Falls Church,VA,22042,38.865,-77.193
165,Townhouse,"7374 Blade Dr, Falls Church, VA 22042",3,3.5,4000,Falls Church,VA,22042,38.865,-77.193
166,House,"3150 Siron St, Falls Church, VA 22042",3,2.0,4200,Falls Church,VA,22042,38.865,-77.193
167,House,"3307 Beechtree Ln, Falls Church, VA 22042",5,2.0,4000,Falls Church,VA,22042,38.865,-77.193
168,House,"2920 Lawrence Dr, Falls Church, VA 22042",4,2.5,4559,Falls Church,VA,22042,38.865,-77.193
